age,success_rate
30,0.10569105691056911
33,0.09937888198757763
35,0.11728395061728394
59,0.15873015873015872
36,0.10119047619047619
39,0.07964601769911504
41,0.10483870967741936
43,0.10891089108910891
20,0.3333333333333333
31,0.08875739644970414
40,0.06504065040650407
56,0.08695652173913043
37,0.11029411764705882
25,0.1951219512195122
38,0.09154929577464789
42,0.09166666666666666
44,0.10526315789473684
26,0.09375
55,0.12345679012345678
67,0.2
53,0.15
68,1.0
32,0.1111111111111111
49,0.15151515151515152
78,0.3333333333333333
23,0.10526315789473684
52,0.09090909090909091
34,0.10952380952380952
61,0.5333333333333333
45,0.09375
48,0.07766990291262135
57,0.02564102564102564
54,0.12121212121212122
63,0.2857142857142857
51,0.07407407407407407
29,0.1411764705882353
50,0.06818181818181818
27,0.14606741573033707
60,0.13953488372093023
28,0.16483516483516483
21,0.16666666666666666
58,0.05063291139240506
22,0.42857142857142855
46,0.12380952380952381
24,0.16666666666666666
77,0.5
75,0.6
47,0.14432989690721648
70,0.0
65,0.0
64,0.2857142857142857
62,0.3333333333333333
66,0.2222222222222222
19,0.5
81,0.0
83,0.5
80,0.3333333333333333
71,0.6
72,0.25
69,0.0
79,0.5
73,0.4
86,0.0
74,0.6666666666666666
76,0.0
87,1.0