day,success_rate
19,0.08888888888888889
11,0.1297709923664122
16,0.13043478260869565
5,0.1554054054054054
23,0.11458333333333333
14,0.09444444444444444
6,0.07017543859649122
17,0.09248554913294797
20,0.05357142857142857
13,0.125
30,0.16216216216216217
29,0.044585987261146494
27,0.15789473684210525
7,0.06748466257668712
18,0.15048543689320387
12,0.208955223880597
21,0.10778443113772455
26,0.11458333333333333
22,0.18181818181818182
2,0.12871287128712872
4,0.11382113821138211
15,0.12578616352201258
8,0.08074534161490683
28,0.09146341463414634
9,0.07586206896551724
3,0.12359550561797752
1,0.4
10,0.26666666666666666
31,0.06976744186046512
25,0.1388888888888889
24,0.1935483870967742